X,Data Status,Date,Partner,Offer,Leads,Exclusive Auto Converted,Exclusive Auto Pct Gross,Agent Conversion Eligible,Agent Converted,Agent Conversion Pct,Avg Rev Per Agent Conv,Avg Cost,Avg Scrub Cost,Sum Cost,Sum Scrub Cost,Average Auto Revenue,Sum Auto Revenue,Avg Agent Revenue,Sum of Agent Revenue,Avg Revenue,Sum Revenue,Avg Income,Sum Income,
Jan'22,Regular,1/1/22,Partner_01,Offer_01,18,0,0,18,5,27.78,25.2,3.06,2.29,55,41.25,0,0,7,126,7,126,4.71,84.75,7
Jan'22,Regular,1/1/22,Partner_01,Offer_02,7,7,100,0,0,0,0,3,2.25,21,15.75,3,21,0,0,3,21,0.75,5.25,
Jan'22,Regular,1/1/22,Partner_01,Offer_03,28,0,0,28,5,17.86,17,2,1.5,56,42,0,0,3.04,85,3.04,85,1.54,43,
Jan'22,Regular,1/1/22,Partner_01,Offer_04,177,177,100,,0,0,0,11.79,8.84,2087.17,1564.97,22,3894,0,0,22,3894,13.16,2329.03,
Jan'22,Regular,1/1/22,Partner_01,Offer_05,4,0,0,4,0,0,0,2,1.5,8,6,0,0,0,0,0,0,-1.5,-6,
Jan'22,Regular,1/1/22,Partner_01,Offer_06,597,0,0,597,175,29.31,21.03,2.01,1.51,1199.97,901.47,0,0,6.16,3680,6.16,3680,4.65,2778.53,
Jan'22,Regular,1/1/22,Partner_01,Offer_07,63,0,0,63,6,9.52,9.83,2.84,2.13,179.02,134.27,0,0,0.94,59,0.94,59,-1.19,-75.27,
Jan'22,Regular,1/1/22,Partner_01,Offer_08,8,0,0,8,0,0,0,3.38,2.53,27.02,20.27,0,0,0,0,0,0,-2.53,-20.27,
Jan'22,Regular,1/1/22,Partner_01,Offer_09,80,0,0,80,5,6.25,12.2,3.05,2.29,243.61,182.86,0,0,0.76,61,0.76,61,-1.52,-121.86,
Jan'22,Regular,1/1/22,Partner_02,Offer_01,48,0,0,48,8,16.67,22.25,1.23,0.93,59.24,44.49,0,0,3.71,178,3.71,178,2.78,133.51,
Jan'22,Coreg,1/1/22,Partner_02,Offer_10,10,0,0,10,5,50,8.2,1,0.75,10,7.5,0,0,4.1,41,4.1,41,3.35,33.5,
